ID::585367454299332608	Text::@MatHawkhead BEEEES   @Independent: Children get attacked by swarm of bees as they listen to Barack Obama read on White House lawn 	Time::2015-04-07 2:04:11 AM	Lattitude::51.473026	Longitude::-0.151129
ID::585368487280955392	Text::Obama will never win https://t.co/vb7JjqeRH7	Time::2015-04-07 2:08:17 AM	Lattitude::55.76872	Longitude::37.561084
ID::585369726563389440	Text::Supreme Court Wants Obama Administration To Weigh In On Iran Bank Judgment http://t.co/Lw0xBzafrp via @HuffPostPol #NoMoreGOPWar	Time::2015-04-07 2:13:13 AM	Lattitude::36.821812	Longitude::-119.856403
ID::585370728557477888	Text::US Senate planning Iran vote despite Obama warning http://t.co/phVV0gnVhW via @YahooNews #NoMoreGOPWar	Time::2015-04-07 2:17:12 AM	Lattitude::36.821812	Longitude::-119.856403
ID::585373857806069760	Text::Obama says confident Iran sanctions could be reimposed if deal broken http://t.co/4xfrROresb	Time::2015-04-07 2:29:38 AM	Lattitude::35.670471	Longitude::139.686206
ID::585373868996435968	Text::Obama says would move fast to take Cuba off terrorism sponsor list http://t.co/6xLd8Yb44o	Time::2015-04-07 2:29:40 AM	Lattitude::35.670471	Longitude::139.686206
ID::585374472066048002	Text::I don't want #Iran #Israel #Texas /political famsmediaHollywood meddling in my affairs&amp;tell #OBama s leave my house @Uscongress @GOP @DNC	Time::2015-04-07 2:32:04 AM	Lattitude::33.13801	Longitude::-96.799922
ID::585374753201889280	Text::@IHeartJKUFC 😂😂 hehe obama tho Happy TENder Months JKUFC	Time::2015-04-07 2:33:11 AM	Lattitude::14.578249	Longitude::121.04827
ID::585375450450403329	Text::@IHeartJKUFC LABAMA HAHHA LABAJO + OBAMA 💙😂😂 Happy TENder Months JKUFC	Time::2015-04-07 2:35:57 AM	Lattitude::14.578153	Longitude::121.048081
ID::585375484319371264	Text::Obama says Iran could cut nuke time to near zero in 13 years: Defending an emerging nuclear deal President Barack… http://t.co/dbYLp9E2KH	Time::2015-04-07 2:36:05 AM	Lattitude::35.22484	Longitude::-80.840793
ID::585376231769575424	Text::Obama says Iran could cut nuke time to near zero in 13 years: Defending an emerging nuclear deal President Barack… http://t.co/IRni4d2gTS	Time::2015-04-07 2:39:04 AM	Lattitude::41.888046	Longitude::-87.626267
ID::585376272294903808	Text::State Executions Rise to Two Per Day in Iran http://t.co/pmB0xWMICo @AsaSoltan love you on Shahs shocked by support of Obama/Iranian deal.	Time::2015-04-07 2:39:13 AM	Lattitude::32.762448	Longitude::-117.12416
